"Pertanyaan","Pilihan 1","Pilihan 2","Pilihan 3","Pilihan 4","Kunci Jawaban","URL"
"Bagaimana Inggris memandang pertempuran Surabaya?","Sebagai sebuah pertempuran biasa","Sebagai neraka (inferno)","Sebagai kemenangan yang mudah","Sebagai simbol perdamaian",2,"https://www.gramedia.com/literasi/sejarah-pertempuran-surabaya/#google_vignette"
"Kapan terjadi pertempuran pertama antara pasukan Indonesia dan sekutu di Surabaya?","20 Oktober 1945","26 Oktober 1945","27 Oktober 1945","2 November 1945",3,"https://www.gramedia.com/literasi/sejarah-pertempuran-surabaya/#google_vignette"
"Siapa yang memimpin tim pemulangan tawanan perang sekutu (RAPWI) di Surabaya?","Brigadir Jenderal Mallaby","Kapten Huijer","Letnan Jenderal Philip Christison","Mayor Jenderal Hawthorn",2,"https://www.gramedia.com/literasi/sejarah-pertempuran-surabaya/#google_vignette"
"Bagaimana respon masyarakat Surabaya terhadap kedatangan pasukan sekutu?","Menyambut baik kedatangan mereka","Menyerahkan senjata mereka","Menolak menyerahkan senjata","Membantu pasukan sekutu",3,"https://www.gramedia.com/literasi/sejarah-pertempuran-surabaya/#google_vignette"
"Di mana terjadi insiden perobekan bendera yang memicu pertempuran di Surabaya?","Hotel Yamato","Kantor Pos Besar","Gedung BPM","Gedung Internatio",1,"https://www.gramedia.com/literasi/sejarah-pertempuran-surabaya/#google_vignette"
"Apa yang terjadi setelah perobekan bendera di Hotel Yamato?","Diskusi damai antara kedua belah pihak","Terjadi keributan dan perkelahian","Pihak Indonesia menyerah","Sekutu menurunkan bendera Belanda",2,"https://www.gramedia.com/literasi/sejarah-pertempuran-surabaya/#google_vignette"
"Siapa yang tewas dalam insiden di Hotel Yamato?","Residen Soedirman","Mr. W.V.Ch. Ploegman","Sidik","Brigadir Jenderal Mallaby",3,"https://www.gramedia.com/literasi/sejarah-pertempuran-surabaya/#google_vignette"
"Pada tanggal berapakah pertempuran Surabaya dimulai?","10 November 1945","17 Agustus 1945","29 Oktober 1945","25 Oktober 1945",1,"https://www.gramedia.com/literasi/sejarah-pertempuran-surabaya/#google_vignette"
"Siapakah yang memimpin pasukan Indonesia dalam pertempuran Puputan Margarana?","Sutaba","Wagimin","I Gusti Ngurah Rai","Kapten I Gusti Wayan Debes",3,"https://esi.kemdikbud.go.id/wiki/Puputan_Margarana"
"Kapan pertempuran Puputan Margarana terjadi?","20 November 1945","20 November 1946","19 November 1946","18 November 1946",2,"https://esi.kemdikbud.go.id/wiki/Puputan_Margarana"
"Di desa manakah pertempuran Puputan Margarana berlangsung?","Marga","Denpasar","Singaraja","Tabanan",1,"https://esi.kemdikbud.go.id/wiki/Puputan_Margarana"
"Apa tujuan utama serangan pasukan Indonesia pada 18 November 1946?","Merebut senjata dari Tangsi Polisi Tabanan","Menyerang tentara Belanda","Melucuti senjata tentara Jepang","Menghancurkan markas NICA",1,"https://esi.kemdikbud.go.id/wiki/Puputan_Margarana"
"Berapa jumlah pasukan Indonesia yang terlibat dalam Puputan Margarana?","Kurang dari 100 orang","Sekitar 250 orang","300 orang","400 orang",1,"https://esi.kemdikbud.go.id/wiki/Puputan_Margarana"
"Siapakah komandan pasukan NICA yang berusaha mempengaruhi Ngurah Rai?","Sutaba","Kapten I Gusti Wayan Debes","Kolonel I Gusti Ngurah Rai","Wagimin",4,"https://esi.kemdikbud.go.id/wiki/Puputan_Margarana"
"Pada tanggal berapakah pasukan Belanda mulai mengepung desa Marga?","19 November 1946","20 November 1946","18 November 1946","2 November 1946",2,"https://esi.kemdikbud.go.id/wiki/Puputan_Margarana"
"Berapa jumlah pasukan Indonesia yang gugur dalam pertempuran Puputan Margarana?","86 orang","100 orang","150 orang","200 orang",1,"https://esi.kemdikbud.go.id/wiki/Puputan_Margarana"
"Berapa jumlah pasukan Belanda yang tewas dalam pertempuran Puputan Margarana?","300 orang","200 orang","400 orang","100 orang",3,"https://esi.kemdikbud.go.id/wiki/Puputan_Margarana"
"Bagaimana pasukan Indonesia menghadapi serangan Belanda dalam Puputan Margarana?","Dengan semangat puputan atau perang penghabisan","Melakukan pertempuran mundur","Bergabung dengan sekutu Jepang","Menerima tawaran perdamaian",1,"https://esi.kemdikbud.go.id/wiki/Puputan_Margarana"
"Siapakah yang memimpin Perang Banjar?","Pangeran Antasari","Pangeran Hidayatullah II","Pangeran Muhammad Seman","Pangeran Gusti Muhammad Said",1,"https://kumparan.com/berita-hari-ini/kronologi-perang-banjar-bentuk-perlawanan-rakyat-indonesia-terhadap-belanda-1v3MiJoV1xo/full"
"Apa yang menjadi penyebab utama Perang Banjar?","Belanda memonopoli perdagangan di Kesultanan Banjar","Pangeran Antasari ingin menjadi raja","Persaingan dengan Kesultanan Banjarmasin","Kerusuhan di kalangan rakyat Banjar",1,"https://kumparan.com/berita-hari-ini/kronologi-perang-banjar-bentuk-perlawanan-rakyat-indonesia-terhadap-belanda-1v3MiJoV1xo/full"
"Pada tahun berapakah Pangeran Antasari meninggal dunia?","1860","1861","1862","1863",3,"https://kumparan.com/berita-hari-ini/kronologi-perang-banjar-bentuk-perlawanan-rakyat-indonesia-terhadap-belanda-1v3MiJoV1xo/full"
"Dimanakah Pangeran Hidayatullah II diasingkan oleh Belanda?","Batavia","Surabaya","Cianjur","Semarang",3,"https://kumparan.com/berita-hari-ini/kronologi-perang-banjar-bentuk-perlawanan-rakyat-indonesia-terhadap-belanda-1v3MiJoV1xo/full"
"Berapa banyak korban yang jatuh di pihak Kesultanan Banjar dalam Perang Banjar?","Lebih dari seribu jiwa","Lebih dari dua ribu jiwa","Lebih dari enam ribu jiwa","Lebih dari sepuluh ribu jiwa",3,"https://kumparan.com/berita-hari-ini/kronologi-perang-banjar-bentuk-perlawanan-rakyat-indonesia-terhadap-belanda-1v3MiJoV1xo/full"
"Siapakah yang memimpin Kerajaan Gowa dalam perlawanan terhadap VOC?","Sultan Hasanuddin","Arung Palakka","Pangeran Antasari","Cornelis Janszoon Speelman",1,"https://makassar.kompas.com/read/2022/01/06/114519878/mengenal-sultan-hasanuddin-dan-perjuangannya-melawan-voc?page=all"
"Perang antara Sultan Hasanuddin dengan VOC dimulai pada tahun?","1650","1660","1670","1640",2,"https://makassar.kompas.com/read/2022/01/06/114519878/mengenal-sultan-hasanuddin-dan-perjuangannya-melawan-voc?page=all"
"Perjanjian yang memaksa Sultan Hasanuddin mengakui monopoli VOC disebut?","Perjanjian Malino","Perjanjian Bongaya","Perjanjian Sombaopu","Perjanjian Batavia",2,"https://makassar.kompas.com/read/2022/01/06/114519878/mengenal-sultan-hasanuddin-dan-perjuangannya-melawan-voc?page=all"
"Julukan yang diberikan kepada Sultan Hasanuddin karena perlawanan terhadap VOC adalah?","Ayam Jantan dari Timur","Singa dari Sulawesi","Raja Laut","Pejuang Tanpa Tanda Jasa",1,"https://makassar.kompas.com/read/2022/01/06/114519878/mengenal-sultan-hasanuddin-dan-perjuangannya-melawan-voc?page=all"
"Di mana Sultan Hasanuddin wafat?","Batavia","Makassar","Sombaopu","Gowa",4,"https://makassar.kompas.com/read/2022/01/06/114519878/mengenal-sultan-hasanuddin-dan-perjuangannya-melawan-voc?page=all"
